epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,5964.46,0.84418,0.5817,1.03346,0.71467,0.65186,0.67243,0.41419,1.5043,1.07764,1.37002,4.79e-05,4.79e-05,4.79e-05
139,6006.45,0.84093,0.58963,1.03263,0.71451,0.66506,0.67642,0.41362,1.51067,1.07146,1.37501,4.46e-05,4.46e-05,4.46e-05
140,6048.76,0.83667,0.57461,1.03076,0.71139,0.66854,0.67898,0.41613,1.50669,1.06402,1.37308,4.13e-05,4.13e-05,4.13e-05
141,6088.2,0.78617,0.52202,1.00012,0.72582,0.63574,0.66382,0.40524,1.50892,1.09,1.38638,3.8e-05,3.8e-05,3.8e-05
142,6127.47,0.77027,0.49787,0.99629,0.71902,0.64022,0.6678,0.40757,1.50511,1.09154,1.393,3.47e-05,3.47e-05,3.47e-05
143,6167.03,0.75389,0.48621,0.98628,0.70319,0.64021,0.66857,0.40841,1.51263,1.08182,1.40177,3.14e-05,3.14e-05,3.14e-05
144,6206.37,0.75386,0.48572,0.97908,0.73055,0.62299,0.66906,0.40999,1.51296,1.08316,1.39765,2.81e-05,2.81e-05,2.81e-05
145,6246,0.75703,0.49199,0.98924,0.70667,0.64679,0.67414,0.41102,1.50463,1.07851,1.38725,2.48e-05,2.48e-05,2.48e-05
146,6285.6,0.75278,0.48863,0.99189,0.73327,0.62687,0.67382,0.41374,1.50896,1.07974,1.38723,2.15e-05,2.15e-05,2.15e-05
147,6325.51,0.7457,0.48223,0.9767,0.73917,0.62621,0.67373,0.41211,1.50723,1.08153,1.38546,1.82e-05,1.82e-05,1.82e-05
148,6365.08,0.7441,0.47966,0.98156,0.72934,0.63521,0.67405,0.41191,1.50737,1.08022,1.38743,1.49e-05,1.49e-05,1.49e-05
149,6404.79,0.73815,0.47228,0.986,0.72921,0.63372,0.67408,0.40963,1.50771,1.08068,1.38754,1.16e-05,1.16e-05,1.16e-05
150,6444.41,0.72824,0.47332,0.97507,0.6954,0.64753,0.67192,0.41211,1.50742,1.08074,1.38765,8.3e-06,8.3e-06,8.3e-06
